번호,날짜,영화제목,관객수,개봉일
216,2021-02-22,에이리,1,2021-07-16
217,2021-02-22,하숙집 : 그녀들의 신음소리 2,1,2021-02-22
218,2021-02-22,미드나잇 버스 ,1,2021-02-04
219,2021-02-22,크루아상,1,2021-01-21
220,2021-02-22,"오늘, 우리 2",1,2021-01-21
221,2021-02-22,귀여운 남자,1,2021-01-14
222,2021-02-22,이별의 아침에 약속의 꽃을 장식하자,1,2018-07-19
223,2021-02-22,운명,1,1111-11-11
224,2021-02-22,서울야행,1,2016-05-05
225,2021-02-22,배틀필드 2025,1,1111-11-11
226,2021-02-22,키드,1,1989-12-15
227,2021-02-23,미션 파서블,18340,2021-02-17
228,2021-02-23,극장판 귀멸의 칼날: 무한열차편,14662,2021-01-27
229,2021-02-23,소울,14143,2021-01-20
230,2021-02-23,퍼펙트 케어,2376,2021-02-19
231,2021-02-23,해리 포터와 불의 잔,1835,2005-12-01
232,2021-02-23,새해전야,1363,2021-02-10
233,2021-02-23,더블패티,843,2021-02-17
234,2021-02-23,아이,772,2021-02-10
235,2021-02-23,몬스터 헌터,728,2021-02-10
236,2021-02-23,빛과 철,692,2021-02-18
237,2021-02-23,마리오네트,556,2021-02-17
238,2021-02-23,소년시절의 너,520,2020-07-09
239,2021-02-23,용루각2: 신들의 밤,514,2021-02-10
240,2021-02-23,송가인 더 드라마 ,356,2021-02-11
241,2021-02-23,해피 투게더,343,1998-08-22
242,2021-02-23,폴리스,343,2021-02-10
243,2021-02-23,인투 더 미러,330,2021-02-17
244,2021-02-23,해변의 에트랑제,299,2021-02-18
245,2021-02-23,로그시티,290,2021-02-11
246,2021-02-23,"구라, 베토벤",286,2021-02-25
247,2021-02-23,클로저,253,2005-02-03
248,2021-02-23,서바이브 더 나잇,247,2021-02-03
249,2021-02-23,디지몬 어드벤처 : 라스트 에볼루션 인연,237,2021-02-17
250,2021-02-23,시간의 끝에서 널 기다려,234,2021-02-17
251,2021-02-23,ARKO LIVE 뮤지컬 시데레우스,228,2021-02-11
252,2021-02-23,타락천사,222,1995-12-23
253,2021-02-23,세자매,221,2021-01-27
254,2021-02-23,드림빌더,211,2021-02-10
255,2021-02-23,모녀의 노예,210,2021-02-23
256,2021-02-23,비포 미드나잇,199,2013-05-22
257,2021-02-23,나는 나를 해고하지 않는다,177,2021-01-28
258,2021-02-23,화양연화,160,2000-10-20
259,2021-02-23,헬렌: 내 영혼의 자화상,145,2021-02-25
260,2021-02-23,어니스트 씨프,135,2021-02-03
261,2021-02-23,명탐정 코난: 진홍의 수학여행,130,2021-01-27
262,2021-02-23,열혈남아,118,1989-10-14
263,2021-02-23,레이니 데이 인 뉴욕,115,2020-05-06
264,2021-02-23,엘프,107,2021-02-10
265,2021-02-23,2046,105,2004-10-15
266,2021-02-23,프라미싱 영 우먼,105,2021-02-24
267,2021-02-23,톰과 제리,99,2021-02-24
268,2021-02-23,동사서독 리덕스,90,2013-12-05
269,2021-02-23,아비정전,87,1990-12-22
270,2021-02-23,밤빛,83,2021-03-04
271,2021-02-23,간이역,82,2021-02-18
272,2021-02-23,페어웰,82,2021-02-04
273,2021-02-23,트라이얼 오브 더 시카고 7,77,2020-10-07
274,2021-02-23,에로스: 왕가위 감독 특별판,69,1111-11-11
275,2021-02-23,여섯번째의 행복,67,1111-11-11
276,2021-02-23,원더,65,2017-12-27
277,2021-02-23,이다,64,2015-02-18
278,2021-02-23,더 울프 오브 월스트리트,61,2014-01-09
279,2021-02-23,사일런싱,60,2021-01-28
280,2021-02-23,호라이즌 라인,58,2021-02-10
281,2021-02-23,우정어린 설복,54,1111-11-11
282,2021-02-23,극장판 바이올렛 에버가든,49,2020-11-12
283,2021-02-23,맨체스터 바이 더 씨,47,2017-02-15
284,2021-02-23,스포트라이트,45,2016-02-24
285,2021-02-23,부에노스 아이레스 제로 디그리,44,1111-11-11
286,2021-02-23,바바 야가: 숲의 악령,40,2021-02-18
