영화제목,코드,장르,감독,주연배우
형수님의 하얀 속살,20215541,"멜로/로맨스,드라마",Null,Null
바람과 함께 사라지다,19770088,"드라마,멜로/로맨스,전쟁",빅터 플레밍,"클라크 게이블(레트 버틀러), 비비안 리(스칼렛 오하라), 레슬리 하워드(애슐리 윌키스)"
바그다드 카페 : 디렉터스컷,20162926,"코미디,드라마",퍼시 애들론,"마리안느 세이지브레트, CCH 파운더, 잭 팰런스, 크리스틴 카우프먼"
아들의 이름으로,20200524,"드라마,스릴러",이정국,"안성기(오채근), 윤유선(진희), 박근형(박기준), 이승호, 이세은, 김희찬"
시월애,20000005,"멜로/로맨스,판타지",이현승,"이정재(성현), 전지현(은주)"
베르나르다 알바,20217384,"공연,뮤지컬",연태흠,"정영주, 황석정"
코드 기아스: 부활의 를르슈,20197843,애니메이션,Null,Null
비커밍 아스트리드,20199699,드라마,퍼닐 피셔 크리스텐센,"알바 어거스트(아스트리드), 마리아 보네비에(한나, 아스트리드 어머니), 트린 디어홈(마리), 매그너스 크레퍼(사무엘), 헨릭 라파엘센(블롬버그)"
독전,20179383,"범죄,액션",이해영,"조진웅(원호), 류준열(락), 김주혁(하림), 김성령(오연옥), 박해준(박선창), 차승원(브라이언), 진서연"
신세계,20124401,"범죄,액션",박훈정,"이정재(이자성), 최민식(강과장), 황정민(정청)"
악녀,20162343,액션,정병길,"김옥빈(숙희), 신하균(중상), 성준(현수), 김서형(권숙), 조은지(김선)"
4월 수요단편극장: 단단한 배우전: 강길우X곽민규X오동민X우지현,20216742,드라마,Null,Null
듄: 드리프터,20217406,"SF,액션",주연 마커스 셰이크셰프,마커스 셰이크셰프
"그 시절, 우리가 좋아했던 소녀",20128588,멜로/로맨스,구파도,"가진동(커징텅), 진연희(션자이), 언승우"
더 랍스터,20150862,"판타지,멜로/로맨스",요르고스 란티모스,"콜린 파렐, 레이첼 와이즈, 레아 세이두, 벤 위쇼, 존 C. 라일리"
오션스 일레븐,19608021,"범죄,코미디",루이스 마일스톤,"프랭크 시내트라, 딘 마틴, 새미 데이비스 주니어, 피터 로포드, 앤지 디킨슨"
실버라이닝 플레이북,20123484,"멜로/로맨스,코미디,드라마",데이빗 O. 러셀,"제니퍼 로렌스(티파니), 브래들리 쿠퍼(팻 솔리타노), 로버트 드 니로(팻 아버지)"
스틸 앨리스,20145042,드라마,리처드 글랫저|워시 웨스트모어랜드,"줄리안 무어, 알렉 볼드윈, 크리스틴 스튜어트, 케이트 보스워스"
리틀 포레스트,20170841,드라마,임순례,"김태리(혜원), 류준열(재하 ), 문소리, 진기주(은숙 )"
우리집,20190703,"드라마,가족",윤가은,"김나연(하나), 김시아(유미), 주예림(유진), 안지호(찬 역), 임지형(남세입자), 설의석(도서관 이용객들)"
우리들,20153450,드라마,윤가은,"최수인(선), 설혜인(지아), 이서연(보라), 강민준(윤)"
치코와 리타,20113501,"애니메이션,멜로/로맨스",페르난도 트루에바|하비에르 마리스칼|토노 에란도,"에만 소르 오냐, 리마라 메니시스"
내가 마지막 본 파리,20119443,멜로/로맨스,리차드 브룩스,"엘리자베스 테일러, 반 존슨"
지옥의 영웅들,19628009,"액션,전쟁",돈 시겔,"스티브 맥퀸, 바비 다린"
섹스컬트,20217574,멜로/로맨스,Null,Null
레옹 ,19950095,"액션,범죄",뤽 베송,"장 르노, 게리 올드만, 나탈리 포트만"
피아니스트,20020223,드라마,로만 폴란스키,애드리언 브로디(블라디슬로 스필만)
무협: 더 코드,20209005,액션,Null,Null
블러드: 궁금한 이야기,20209464,공포(호러),Null,Null
"바다, 그리고 서사시",20217565,기타,Null,Null
